dataset_name,task_name,paper_publication_date,Main energy source,Low Carbon?,Carbon intensity (g CO2/kWh),Average Carbon Yearly,Local/Cloud,country,location,Source,model_number_of_gpus,model_gpu,model_number_of_tpus,model_tpu,TDP,TDP Source,GPU_hours,Energy consumed (kWh),CO2 emitted (kg),BLEU score,F1
Imagenet,Image Classification,2021,Gas,0,191.43,441.0673939,cloud,USA,California,Carbon Footprint 2020,,,64,Cloud TPU v3,300,Patterson et al.,5529600,460.8,88.2,,
Imagenet,Image Classification,2020,Oil,0,348.04,371.045,local,UK,Ireland,Association of Issuing Bodies (AIB),8,RTX2080Ti,,,250,https://www.techpowerup.com/gpu-specs/geforce-rtx-2080-ti.c3305,6537600,454,158,,
Imagenet,Image Classification,2020,Coal,0,506.1,371.045,local,USA,Michigan,Carbon Footprint 2020,8,GeForce RTX 2080 Ti,,,250,https://www.techpowerup.com/gpu-specs/geforce-rtx-2080-ti.c3305,4838400,336,170,,
WMT2014 English-German,Machine Translation,2020,Gas,0,675.4,371.045,cloud,USA,North Carolina,Patterson et al.,,,1024,Cloud TPU v3,300,https://arxiv.org/abs/2104.10350,274268160,24100,4800,,
WMT2014 English-German,Machine Translation,2020,Coal,0,401.06,371.045,cloud,USA,Average,eGRID,8,Tesla M40,,,250,https://www.techpowerup.com/gpu-specs/tesla-m40.c2771,10368000,720,288.8,30.75,
WMT2014 English-French,Machine Translation,2020,Coal,0,401.06,371.045,cloud,USA,Average,eGRID,8,Tesla M40,,,250,https://www.techpowerup.com/gpu-specs/tesla-m40.c2771,1382400,96,38.5,43.78,
WMT2014 English-German,Machine Translation,2020,Gas,0,357.81,371.045,local,USA,Pennsylvania,Carbon Footprint,1,GeForce Titan RTX,,,280,https://www.techpowerup.com/gpu-specs/titan-rtx.c3311,432000,33.6,12,27.35,
WMT2014 English-German,Machine Translation,2020,Gas,0,357.81,371.045,local,USA,Pennsylvania,Carbon Footprint,1,GeForce Titan RTX,,,280,https://www.techpowerup.com/gpu-specs/titan-rtx.c3311,108000,8.4,3,26.2,
MS COCO,Object Detection,2020,Coal,0,555,371.045,cloud,China,Beijing,Climate Transparency (2019 Report),8,Tesla V100 PCIe 32 GB,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,6220800,432,239.8,,
WMT2014 English-French,Machine Translation,2020,Hydro,1,1.3,371.045,local,Canada,Quebec,UN Framework Convention on Climate Change (2019).,8,NVIDIA RTX 2080 Ti,,,215,"https://www.anandtech.com/show/14586/geforce-rtx-2070-super-rtx-2060-super-review#:~:text=The%20TDP%20of%20the%20card,than%20the%20RTX%202070%20vanilla.",19353600,1155.84,1.5,43.2,
Imagenet,Image Classification,2021,Coal,0,664.97,441.0673939,local,Australia,Melbourne,ElectricityMap,1,NVIDIA V100,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,4212000,292.5,194.5,,
Imagenet,Image Classification,2020,Coal,0,555,371.045,local,China,Shenzhen,Climate Transparency (2019 Report),4,Tesla V100 PCIe 32 GB,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,3369600,234,129.9,,
Imagenet,Image Classification,2021,Coal,0,392.92,441.0673939,cloud,Multiple countries,"Beijing, California",,16,A100 GPU,,,250,https://www.nvidia.com/en-us/data-center/a100/,2764800,192,75.4,,
Imagenet,Image Classification,2021,Coal,0,481.5,441.0673939,cloud,Multiple countries,China | Singapore,"Enerdata 2019, EMA 2019",8,Tesla V100 PCIe 32 GB,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,2073600,144,69.3,,
Imagenet,Image Classification,2021,Coal,0,664.97,441.0673939,local,Australia,Melbourne,ElectricityMap,8,Tesla V100 PCIe 32 GB,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,2073600,144,95.8,,
Imagenet,Image Classification,2020,Gas,0,426,371.045,local,UAE,Abu Dhabi,Dubai Electricity & Water Authority,8,Tesla V100 PCIe 32 GB,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,1728000,120,51.1,,
Imagenet,Image Classification,2021,Oil,0,418.8,441.0673939,local,Singapore,Singapore,Singapore Energy Market Authority (EMA),8,Tesla V100 PCIe 16 GB,,,300,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-16-gb.c2957,1382400,115.2,48.2,,
Imagenet,Image Classification,2020,Oil,0,348.04,371.045,local,UK,Ireland,Association of Issuing Bodies (AIB),2,Titan X,,,250,https://www.techpowerup.com/gpu-specs/geforce-gtx-titan-x.c2632,1404000,97.5,33.9,,
Imagenet,Image Classification,2021,Coal,0,401.06,441.0673939,local,USA,Average,eGRID,8,Quadro GP100,,,235,https://www.techpowerup.com/gpu-specs/quadro-gp100.c2994,1382400,90.24,36.2,,
WMT2014 English-German,Machine Translation,2020,Hydro,1,1.3,371.045,local,Canada,Quebec,UN Framework Convention on Climate Change (2019).,8,NVIDIA RTX 2080 Ti,,,215,"https://www.anandtech.com/show/14586/geforce-rtx-2070-super-rtx-2060-super-review#:~:text=The%20TDP%20of%20the%20card,than%20the%20RTX%202070%20vanilla.",9676800,577.92,0.8,29.6,
Conll 2003,Named Entity Recognition,2020,Gas,0,233.14,371.045,local,UK,London,UK Govt – Defra/BEIS,1,GTX 1080Ti,,,250,techpowerup.com,21600,1.5,0.3,,93.5
Imagenet,Image Classification,2020,Gas,0,381.55,371.045,local,USA,Maryland,Carbon Footprint 2020,4,Nvidia GTX 1080,,,250,techpowerup.com,1036800,72,27.5,,
Imagenet,Image Classification,2012,Nuclear,1,52.89,52.89,local,Canada,Toronto,ElectricityMap,2,GeForce GTX 580,,,244,https://www.techpowerup.com/gpu-specs/geforce-gtx-580.c270,950000,64.38888889,3.4,,
Imagenet,Image Classification,2020,Coal,0,401.06,371.045,cloud,USA,Google,eGRID,,,128,Cloud TPU v3,300,Patterson et al.,691200,57.6,23.1,,
Imagenet,Image Classification,2018,Coal,0,555,286.1433333,local,China,Shanghai,Climate Transparency (2019 Report),1,?,,,250,Median TDP,720000,50,27.8,,
Imagenet,Image Classification,2020,Gas,0,191.43,371.045,cloud,USA,California,Carbon Footprint 2020,8,Tesla V100 PCIe 32 GB,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,650880,45.2,8.7,,
Imagenet,Image Classification,2021,Coal,0,392.92,441.0673939,cloud,Multiple countries,"Beijing, California",,8,GeForce GTX 1080 Ti,,,250,techpowerup.com,576000,40,15.7,,
Imagenet,Image Classification,2020,Coal,0,555,371.045,cloud,China,Shanghai,Climate Transparency (2019 Report),1,Nvidia V100,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,526507,36.56298516,20.3,,
Imagenet,Image Classification,2019,Coal,0,555,335.5186667,local,China,Beijing,Climate Transparency (2019 Report),4,?,,,250,Median TDP,518400,36,20,,
Imagenet,Image Classification,2021,Coal,0,401.06,441.0673939,cloud,USA,Facebook,eGRID,1,Tesla V100 PCIe 16 GB,,,300,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-16-gb.c2957,345600,28.8,11.6,,
SQuAD 1.1,Question Answering,2021,Gas,0,415,441.0673939,cloud,USA,Georgia,Patterson et al.,,,1024,Cloud TPU v3,300,https://arxiv.org/abs/2104.10350,2388787200,179000,72200,,
WMT2014 English-German,Machine Translation,2021,Oil,0,606.218,441.0673939,local,Japan,Tokyo,ElectricityMap,128,P100 GPU,,,300,"https://www.anandtech.com/show/10222/nvidia-announces-tesla-p100-accelerator-pascal-power-for-hpc#:~:text=The%20P100%20is%20rated%20for,in%20the%20230W%2D250W%20range.",5990400,499.2,302.6,35.14,
WMT2014 English-German,Machine Translation,2021,Coal,0,555,441.0673939,local,China,Soochow,Climate Transparency (2019 Report),8,Tesla V100 PCIe 32 GB,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,3456000,240,133.2,30.91,
WMT2014 English-German,Machine Translation,2021,Oil,0,606.218,441.0673939,local,Japan,Tokyo,ElectricityMap,8,V100 GPU,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,1785600,124,75.2,33.89,
Imagenet,Image Classification,2020,Gas,0,191.43,371.045,local,USA,California,Carbon Footprint 2020,3,?,,,250,Median TDP,308520,21.425,4.1,,
MS COCO,Object Detection,2021,Hydro,1,90.74,441.0673939,local,USA,Washington,Carbon Footprint 2020,32,v100,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,13824000,960,87.1,,
MS COCO,Object Detection,2021,Hydro,1,90.74,441.0673939,local,USA,Washington,Carbon Footprint 2020,16,v100,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,6912000,480,43.6,,
MS COCO,Object Detection,2021,Coal,0,555,441.0673939,local,China,"Xiamen, Fujian",Climate Transparency (2019 Report),4,NVIDIA RTX 2080 Ti,,,215,"https://www.anandtech.com/show/14586/geforce-rtx-2070-super-rtx-2060-super-review#:~:text=The%20TDP%20of%20the%20card,than%20the%20RTX%202070%20vanilla.",1382400,82.56,45.8,,
MS COCO,Object Detection,2021,Coal,0,555,441.0673939,local,China,"Xiamen, Fujian",Climate Transparency (2019 Report),4,NVIDIA RTX 2080 Ti,,,215,"https://www.anandtech.com/show/14586/geforce-rtx-2070-super-rtx-2060-super-review#:~:text=The%20TDP%20of%20the%20card,than%20the%20RTX%202070%20vanilla.",1036800,61.92,34.4,,
Imagenet,Image Classification,2020,Gas,0,233.14,371.045,local,UK,London,UK Govt – Defra/BEIS,8,GeForce RTX 2080 Ti,,,250,https://www.techpowerup.com/gpu-specs/geforce-rtx-2080-ti.c3305,172800,12,2.8,,
MS COCO,Object Detection,2021,Coal,0,555,441.0673939,cloud,China,Beijing,Climate Transparency (2019 Report),8,Tesla V100 PCIe 32 GB,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,2073600,144,79.9,,
Imagenet,Image Classification,2020,Oil,0,500,371.045,local,South Korea,Seoul,Climate Transparency (2019 Report),1,NVIDIA Titan-Xp,,,250,https://www.techpowerup.com/gpu-specs/geforce-gtx-titan-x.c2632,172800,12,6,,
MS COCO,Object Detection,2021,Coal,0,555,441.0673939,local,China,Wuhan,Climate Transparency (2019 Report),8,Tesla V100 PCIe 32 GB,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,1180800,82,45.5,,
Imagenet,Image Classification,2021,Gas,0,268.46,441.0673939,local,USA,Texas/Washington,Carbon Footprint 2020,1,v100,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,172800,12,3.2,,
Imagenet,Image Classification,2021,Gas,0,454.8,441.0673939,cloud,Google,Google,Google,,,128,TPUv3,300,https://arxiv.org/abs/2104.10350,115200,9.6,4.4,,
WMT2014 English-French,Machine Translation,2021,Coal,0,555,441.0673939,local,China,Soochow,Climate Transparency (2019 Report),8,GeForce RTX 3090,,,350,https://www.techpowerup.com/gpu-specs/geforce-rtx-3090.c3622,240000,23.33333333,13,43.95,
WMT2014 English-German,Machine Translation,2021,Coal,0,606.218,441.0673939,cloud,Japan,Chiba,ElectricityMap,8,Tesla V100 PCIe 32 GB,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,230400,16,9.7,29.3,
WMT2014 English-French,Machine Translation,2021,Hydro,1,90.74,441.0673939,local,USA,Washington,Carbon Footprint 2020,8,Tesla V100 PCIe 32 GB,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,1382400,96,8.7,42.1,
SQuAD 1.1,Question Answering,2021,Gas,0,454.8,441.0673939,cloud,Google,Google,Google,,,256,TPUv2,280,https://arxiv.org/abs/2104.10350,230400,17.92,8.2,,91.58
Imagenet,Image Classification,2021,Coal,0,401.06,441.0673939,cloud,USA,South+East,eGRID,1,Tesla V100 PCIe 32 GB,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,127666,8.865694444,3.6,,
Conll 2003,Named Entity Recognition,2021,Coal,0,555,441.0673939,cloud,China,Hangzhou,Climate Transparency (2019 Report),1,Tesla P100 PCIe 16 GB,,,250,https://askgeek.io/en/gpus/NVIDIA/Tesla-P100-PCIe-16-GB,162000,11.25,6.2,,93.64
WMT2014 English-German,Machine Translation,2021,Hydro,1,90.74,441.0673939,local,USA,Washington,Carbon Footprint 2020,8,Tesla V100 PCIe 32 GB,,,250,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,691200,48,4.4,28.7,
Conll 2003,Named Entity Recognition,2021,Coal,0,555,441.0673939,cloud,China,Hangzhou,Climate Transparency (2019 Report),1,Tesla P100 PCIe 16 GB,,,250,https://askgeek.io/en/gpus/NVIDIA/Tesla-P100-PCIe-16-GB,86400,6,3.3,,94.6
Conll 2003,Named Entity Recognition,2021,Coal,0,555,441.0673939,local,China,Shanghai,Climate Transparency (2019 Report),8,GeForce RTX 3090,,,350,https://www.techpowerup.com/gpu-specs/geforce-rtx-3090.c3622,57600,5.6,3.1,,93.24
